,FIPS,Urban,Total_population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_native,P_FB,P_citizen,P_non-citizen,P_NoSchool,P_HS_no_degree,P_HS_or_GED,P_some_college,P_college_degree,P_Masters_prof_doc,P_limited_eng,Poverty_rate,MED_HH_income,UE_rate,P_UI,P_Insured,P_UI_under_18,P_UI_18-64,P_UI_65_over,P_any_private_ins,P_any_public_ins,P_Medicare_alone,P_Medicaid_alone,Respiratory HI,Low_access,GINI
345,49039972200,0.0,3721,0.861058855146466,0.0005374899220639613,0.03977425423273313,0.010212308519215264,0.0,0.07686105885514646,0.011556033324375168,0.14001612469766192,0.9497446922870196,0.05025530771298038,0.9743388321550144,0.025661167844985597,0.08413284132841328,0.06826568265682657,0.3059040590405904,0.35682656826568265,0.15535055350553506,0.02952029520295203,0.06893592677345538,0.10722950024260068,55386.0,0.057999999999999996,0.161,0.8390000000000001,0.14400000000000002,0.20800000000000002,0.0,0.665,0.322,0.165,0.16699999999999998,0.1,0.0,0.3674
346,49039972300,1.0,6188,0.7629282482223658,0.02359405300581771,0.013413057530704589,0.013089851325145443,0.0027472527472527475,0.15287653522947642,0.03135100193923723,0.20297349709114415,0.9167744020685197,0.08322559793148028,0.9368660105980318,0.06313398940196821,0.09197080291970802,0.05547445255474453,0.3157455683003128,0.3422314911366006,0.1708029197080292,0.023774765380604797,0.13230872034747745,0.1037284894837476,62500.0,0.046,0.121,0.879,0.11,0.14300000000000002,0.038,0.765,0.22399999999999998,0.121,0.10800000000000001,0.1,1.0,0.3435
347,49039972400,1.0,7484,0.8931052912880812,0.0022715125601282735,0.001469802244788883,0.011357562800641369,0.010689470871191877,0.06680919294494922,0.014297167290219135,0.08738642437199359,0.9441475146980225,0.055852485301977554,0.9716956634640354,0.028304336535964685,0.04568720379146919,0.021800947867298578,0.1770616113744076,0.4870142180094787,0.2066350710900474,0.061800947867298575,0.06447349096783668,0.21049812533476164,44675.0,0.08,0.09699999999999999,0.903,0.077,0.12300000000000001,0.0,0.816,0.155,0.09300000000000001,0.07400000000000001,0.09,1.0,0.359
348,49039972500,0.0,4527,0.9193726529710625,0.00927766732935719,0.013916500994035786,0.006406008394079964,0.009940357852882704,0.032471835652750164,0.008614976805831677,0.04086591561740667,0.9763640379942566,0.02363596200574332,0.9862745098039216,0.013725490196078431,0.04767616191904048,0.0431784107946027,0.21739130434782608,0.3532233883058471,0.2755622188905547,0.06296851574212893,0.03289162328442972,0.12098991750687443,52849.0,0.036000000000000004,0.095,0.905,0.105,0.121,0.005,0.725,0.379,0.212,0.198,0.08,0.0,0.3691
349,49041975100,0.0,4319,0.9467469321602223,0.003009956008335263,0.0,0.00046307015512850195,0.003009956008335263,0.03797175272053716,0.008798332947441537,0.0812688122250521,0.9685112294512619,0.03148877054873813,0.9793650793650793,0.020634920634920634,0.034137175070466645,0.07641716254306295,0.3877231443783276,0.3012840588787974,0.17068587535233323,0.029752583777012214,0.03481481481481481,0.1245186136071887,55718.0,0.047,0.091,0.909,0.06,0.135,0.0,0.7829999999999999,0.275,0.18,0.10800000000000001,0.1,0.0,0.4082
350,49041975200,0.0,2893,0.9799516073280332,0.0069132388524023505,0.009332872450743173,0.0,0.0,0.0010369858278603526,0.00276529554096094,0.026270307639128933,0.9896301417213965,0.010369858278603527,0.99896408839779,0.0010359116022099447,0.018508997429305913,0.06529562982005141,0.2760925449871465,0.3218508997429306,0.2704370179948586,0.04781491002570694,0.05438859714928732,0.06568265682656826,61607.0,0.031,0.06,0.94,0.07200000000000001,0.075,0.0,0.833,0.256,0.192,0.07200000000000001,0.1,0.0,0.3789
351,49041975300,1.0,5001,0.9410117976404719,0.014197160567886422,0.027794441111777646,0.0,0.0,0.010597880423915218,0.00639872025594881,0.03119376124775045,0.9894021195760848,0.010597880423915218,0.9984028748253144,0.001597125174685566,0.05222779580997344,0.03983475951608144,0.3083505458837415,0.30156388315137206,0.24195928002360578,0.05606373561522573,0.01706938594546664,0.18066442702500934,48259.0,0.054000000000000006,0.147,0.853,0.135,0.185,0.0,0.628,0.36200000000000004,0.142,0.221,0.1,1.0,0.4303
352,49041975400,0.0,3778,0.9415034409740604,0.006881948120698782,0.03388035997882478,0.0013234515616728428,0.0,0.006087877183695077,0.010322922181048173,0.05532027527792483,0.9854420328215987,0.014557967178401271,0.9905610907184059,0.009438909281594127,0.04923198109491926,0.08782985427333596,0.2737298148877511,0.3209925167388736,0.19732178022843638,0.07089405277668373,0.022375215146299483,0.20237388724035607,45765.0,0.06,0.083,0.917,0.047,0.132,0.016,0.597,0.40700000000000003,0.156,0.26899999999999996,0.1,0.0,0.4505
353,49041975500,0.0,5289,0.9402533560219323,0.0013235016071090943,0.020608810739270185,0.0005672149744753262,0.0,0.033465683494044246,0.003781433163168841,0.05823407071280015,0.9733408961996597,0.02665910380034033,0.9803521779425394,0.01964782205746061,0.04965089216446858,0.0643910007757952,0.3343677269200931,0.27333850530126713,0.21748125161624,0.06077062322213602,0.04829770387965162,0.07898550724637682,56633.0,0.065,0.145,0.855,0.094,0.21600000000000003,0.023,0.679,0.355,0.204,0.17300000000000001,0.1,0.0,0.3895
354,49043964101,0.0,2292,0.993891797556719,0.0,0.0,0.0,0.0,0.006108202443280977,0.0,0.14790575916230367,0.9271378708551483,0.07286212914485166,0.936657131181038,0.06334286881896199,0.041719342604298354,0.04487989886219975,0.3723135271807838,0.2800252844500632,0.22882427307206069,0.032237673830594185,0.0611084793936523,0.023413897280966767,70724.0,0.019,0.075,0.925,0.083,0.083,0.0,0.84,0.16399999999999998,0.099,0.076,0.1,0.0,0.345
