,FIPS,Total_population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_native,P_FB,P_citizen,P_non-citizen,P_NoSchool,P_HS_no_degree,P_HS_or_GED,P_some_college,P_college_degree,P_Masters_prof_doc,P_limited_eng,Poverty_rate,MED_HH_income,UE_rate,P_UI,P_Insured,P_UI_under_18,P_UI_18-64,P_UI_65_over,P_any_private_ins,P_any_public_ins,P_Medicare_alone,P_Medicaid_alone,Respiratory HI,NatWalkInd,GINI,SVI_themes_total,SVI_flags
324,49035113903,5029,0.6973553390336051,0.00039769337840524953,0.00019884668920262477,0.045138198448995824,0.0,0.2173394312984689,0.03957049115132233,0.31716046927818653,0.8409226486379002,0.15907735136209983,0.9051475881929446,0.09485241180705543,0.09426479560707748,0.12812690665039658,0.35936546674801706,0.26205003050640635,0.13483831604636973,0.021354484441732765,0.1900914310014884,0.08070937386898298,60139.0,0.042,0.14800000000000002,0.852,0.094,0.19899999999999998,0.0,0.6859999999999999,0.22699999999999998,0.083,0.157,0.296938954066835,8.9166666685,0.3337,0.8353,3.0
325,49035113904,5456,0.7580645161290323,0.0,0.010080645161290322,0.0016495601173020528,0.0,0.20747800586510265,0.022727272727272728,0.2925219941348974,0.9013929618768328,0.09860703812316715,0.9340866290018832,0.06591337099811675,0.08919843597262953,0.07404692082111437,0.4506353861192571,0.25097751710654936,0.12561094819159335,0.009530791788856305,0.17501439263097293,0.11736810906935388,62281.0,0.062,0.212,0.7879999999999999,0.14400000000000002,0.276,0.0,0.6409999999999999,0.258,0.124,0.134,0.295306001162798,12.291666665000001,0.3211,0.7925,0.0
326,49035113905,7438,0.6519225598279107,0.009142242538316752,0.007125571390158645,0.009680021511158914,0.033342296316214035,0.20556601236891636,0.08322129604732455,0.3252218338262974,0.8244151653670342,0.17558483463296584,0.8949584887498496,0.1050415112501504,0.05741042345276873,0.10118078175895766,0.41164495114006516,0.28135179153094464,0.12825732899022801,0.02015472312703583,0.17409144196951934,0.05916744621141253,65089.0,0.043,0.10099999999999999,0.899,0.033,0.151,0.0,0.76,0.19399999999999998,0.052000000000000005,0.136,0.300733484824333,11.12499999825,0.2819,0.5849,0.0
327,49035113906,3908,0.7686796315250768,0.0017911975435005118,0.0,0.01151484135107472,0.029426816786079835,0.1763050153531218,0.012282497441146366,0.2883828045035824,0.8792221084953941,0.12077789150460594,0.9122315592903828,0.08776844070961717,0.06615598885793872,0.16260445682451252,0.326949860724234,0.2670612813370474,0.14763231197771587,0.029596100278551533,0.10770528683914511,0.09687098156879555,48043.0,0.068,0.142,0.858,0.151,0.16399999999999998,0.0,0.688,0.233,0.135,0.124,0.17669459266686,11.611111110000001,0.4108,0.9571,2.0
328,49035113907,8326,0.7558251261109776,0.0,0.0,0.006005284650492433,0.0,0.1799183281287533,0.0582512611097766,0.28861398030266633,0.8760509248138362,0.12394907518616383,0.9348753649225241,0.06512463507747586,0.04549836128783497,0.09369577790630422,0.3618662039714671,0.2045498361287835,0.24252940042413726,0.05186042028147291,0.15898141775636615,0.05014504765851637,76717.0,0.052000000000000005,0.096,0.904,0.054000000000000006,0.128,0.0,0.7979999999999999,0.14300000000000002,0.042,0.10800000000000001,0.213575518712383,9.444444445666667,0.293,0.7547,0.0
329,49035114000,2228,0.8438061041292639,0.02333931777378815,0.0,0.035457809694793535,0.0,0.06418312387791741,0.03321364452423698,0.10412926391382406,0.914721723518851,0.08527827648114901,0.9620034542314335,0.037996545768566495,0.018955154877484975,0.04022191400832178,0.12852519648636154,0.2575127138233934,0.3601479426722145,0.19463707813222375,0.07628676470588236,0.18724870763928778,55938.0,0.064,0.095,0.905,0.0,0.121,0.0,0.718,0.304,0.251,0.124,0.334725720916365,18.33333333,0.5363,0.4683,2.0
330,49035114100,2942,0.929299796057104,0.0,0.00849762066621346,0.016315431679129844,0.0,0.004418762746430999,0.04146838885112169,0.07477906186267845,0.9408565601631543,0.05914343983684568,0.9649065267300755,0.03509347326992457,0.015731292517006803,0.00977891156462585,0.13435374149659865,0.23511904761904762,0.3630952380952381,0.241921768707483,0.06743666169895678,0.10753720595295248,75391.0,0.026000000000000002,0.102,0.898,0.066,0.12300000000000001,0.0,0.825,0.125,0.09300000000000001,0.031,0.278904633637522,16.666666665,0.4718,0.1835,0.0
331,49035114200,4990,0.8080160320641283,0.036072144288577156,0.014228456913827655,0.07074148296593187,0.002004008016032064,0.014829659318637275,0.05410821643286573,0.0905811623246493,0.8971943887775551,0.10280561122244489,0.9499333714068151,0.05006662859318484,0.03187688925528991,0.04781533388293487,0.21984061555372356,0.2978840340752954,0.2904644133003572,0.11211871393239901,0.07072691552062868,0.037541528239202655,78737.0,0.04,0.086,0.914,0.08900000000000001,0.098,0.013999999999999999,0.8340000000000001,0.17,0.115,0.053,0.31078791123657,13.583333334999999,0.3304,0.5111,0.0
332,49035114300,20285,0.8292334237121025,0.013951195464629036,0.007197436529455262,0.03569139758442199,0.008676361843726891,0.06877002711363076,0.036480157752033525,0.1776682277544984,0.8904116342124723,0.10958836578752773,0.9479857930647724,0.05201420693522759,0.026327632763276328,0.021002100210021003,0.30745574557455746,0.25645064506450643,0.3457095709570957,0.043054305430543054,0.09869976359338062,0.08308755372040111,75354.0,0.033,0.069,0.9309999999999999,0.07,0.07400000000000001,0.0,0.8590000000000001,0.11900000000000001,0.05,0.067,0.341151440923209,10.583333334,0.3786,0.6278,0.0
333,49035114500,8012,0.48602096854717924,0.031827259111333,0.00399400898652022,0.14615576635047428,0.08112830753869196,0.19508237643534698,0.05579131303045432,0.3402396405391912,0.7234148776834748,0.2765851223165252,0.8515251355085557,0.14847486449144437,0.057262315942555896,0.08634793673877476,0.37429558262134155,0.25377204144700966,0.18923832030539903,0.03908380294491911,0.25023969319271333,0.11824184894758563,69596.0,0.045,0.151,0.8490000000000001,0.1,0.19,0.027999999999999997,0.69,0.21100000000000002,0.07,0.149,0.388626624086398,13.611111113333331,0.3123,0.9194,4.0
