STATE,COUNTY,FIPS,RPL_THEMES,F_TOTAL
UTAH,Salt Lake,49035111904,0.6123,4
UTAH,Utah,49049001702,0.6141,5
UTAH,Utah,49049000203,0.6158,0
UTAH,Utah,49049010504,0.6175,1
UTAH,Salt Lake,49035112001,0.6192,3
UTAH,Weber,49057210304,0.6209,0
UTAH,Utah,49049000508,0.6226,0
UTAH,Utah,49049001105,0.6244,1
UTAH,Davis,49011126600,0.6261,0
UTAH,Salt Lake,49035114300,0.6278,0
UTAH,Cache,49005000101,0.6295,0
UTAH,Utah,49049001900,0.6312,4
UTAH,Carbon,49007000500,0.6329,1
UTAH,Davis,49011126901,0.6346,0
UTAH,Wayne,49055979100,0.6364,1
UTAH,Sevier,49041975100,0.6381,0
UTAH,Box Elder,49003960601,0.6398,2
UTAH,Salt Lake,49035101600,0.6415,3
UTAH,Salt Lake,49035113701,0.6432,1
UTAH,Cache,49005000502,0.6449,2
UTAH,Utah,49049003001,0.6467,0
UTAH,Utah,49049000102,0.6484,0
UTAH,Salt Lake,49035102500,0.6501,4
UTAH,Utah,49049001801,0.6518,5
UTAH,Davis,49011125405,0.6535,1
UTAH,Salt Lake,49035110401,0.6552,4
UTAH,Salt Lake,49035112100,0.6569,1
UTAH,Davis,49011125301,0.6587,0
UTAH,Salt Lake,49035113521,0.6604,1
UTAH,Salt Lake,49035111903,0.6621,0
UTAH,Emery,49015976200,0.6638,1
UTAH,Beaver,49001100200,0.6655,0
UTAH,Utah,49049000506,0.6672,1
UTAH,Salt Lake,49035113511,0.669,0
UTAH,Utah,49049001001,0.6707,0
UTAH,Salt Lake,49035113803,0.6724,2
UTAH,Utah,49049001202,0.6741,0
UTAH,Salt Lake,49035112605,0.6758,1
UTAH,Uintah,49047968301,0.6775,0
UTAH,Millard,49027974300,0.6792,1
UTAH,Box Elder,49003960500,0.681,1
UTAH,Utah,49049001201,0.6827,0
UTAH,Salt Lake,49035100100,0.6844,1
UTAH,Utah,49049002300,0.6861,1
UTAH,Weber,49057210800,0.6878,2
UTAH,Salt Lake,49035114700,0.6895,2
UTAH,Davis,49011127002,0.6913,1
UTAH,Salt Lake,49035100700,0.693,0
