CensusTract,State,County,Urban,Low_access
49035113412,Utah,Salt Lake County,1,1
49035113413,Utah,Salt Lake County,1,1
49035113505,Utah,Salt Lake County,1,1
49035113509,Utah,Salt Lake County,1,1
49035113510,Utah,Salt Lake County,1,1
49035113511,Utah,Salt Lake County,1,1
49035113512,Utah,Salt Lake County,1,1
49035113513,Utah,Salt Lake County,1,1
49035113514,Utah,Salt Lake County,1,1
49035113515,Utah,Salt Lake County,1,1
49035113520,Utah,Salt Lake County,1,1
49035113521,Utah,Salt Lake County,1,1
49035113522,Utah,Salt Lake County,1,1
49035113523,Utah,Salt Lake County,1,1
49035113525,Utah,Salt Lake County,1,1
49035113526,Utah,Salt Lake County,1,1
49035113527,Utah,Salt Lake County,1,0
49035113528,Utah,Salt Lake County,1,1
49035113532,Utah,Salt Lake County,1,1
49035113533,Utah,Salt Lake County,1,1
49035113534,Utah,Salt Lake County,1,1
49035113535,Utah,Salt Lake County,1,1
49035113536,Utah,Salt Lake County,1,0
49035113537,Utah,Salt Lake County,1,1
49035113538,Utah,Salt Lake County,1,1
49035113539,Utah,Salt Lake County,1,1
49035113600,Utah,Salt Lake County,1,1
49035113701,Utah,Salt Lake County,1,1
49035113702,Utah,Salt Lake County,1,1
49035113801,Utah,Salt Lake County,1,1
49035113802,Utah,Salt Lake County,1,1
49035113803,Utah,Salt Lake County,1,1
49035113903,Utah,Salt Lake County,1,1
49035113904,Utah,Salt Lake County,1,1
49035113905,Utah,Salt Lake County,1,1
49035113906,Utah,Salt Lake County,1,1
49035113907,Utah,Salt Lake County,1,1
49035114000,Utah,Salt Lake County,1,1
49035114100,Utah,Salt Lake County,1,1
49035114200,Utah,Salt Lake County,1,1
49035114300,Utah,Salt Lake County,1,1
49035114500,Utah,Salt Lake County,1,1
49035114600,Utah,Salt Lake County,1,1
49035114700,Utah,Salt Lake County,1,1
49035114800,Utah,Salt Lake County,0,0
49035115106,Utah,Salt Lake County,1,1
49035115209,Utah,Salt Lake County,1,1
49037942000,Utah,San Juan County,0,0
49037942100,Utah,San Juan County,0,0
49037978100,Utah,San Juan County,0,0
49037978200,Utah,San Juan County,0,0
49039972100,Utah,Sanpete County,0,0
49039972200,Utah,Sanpete County,0,0
49039972300,Utah,Sanpete County,1,1
49039972400,Utah,Sanpete County,1,1
49039972500,Utah,Sanpete County,0,0
49041975100,Utah,Sevier County,0,0
49041975200,Utah,Sevier County,0,0
49041975300,Utah,Sevier County,1,1
49041975400,Utah,Sevier County,0,0
49041975500,Utah,Sevier County,0,0
49043964101,Utah,Summit County,0,0
49043964102,Utah,Summit County,0,0
49043964201,Utah,Summit County,1,1
49043964202,Utah,Summit County,0,0
49043964203,Utah,Summit County,0,0
49043964303,Utah,Summit County,1,1
49043964304,Utah,Summit County,1,1
49043964305,Utah,Summit County,0,0
49043964306,Utah,Summit County,0,0
49043964307,Utah,Summit County,0,0
49043964308,Utah,Summit County,1,1
49043964401,Utah,Summit County,0,0
49043964402,Utah,Summit County,1,1
49045130600,Utah,Tooele County,0,0
49045130701,Utah,Tooele County,0,0
49045130702,Utah,Tooele County,0,0
49045130703,Utah,Tooele County,0,0
49045130800,Utah,Tooele County,1,1
49045130900,Utah,Tooele County,1,1
49045131001,Utah,Tooele County,1,1
49045131002,Utah,Tooele County,1,1
49045131100,Utah,Tooele County,1,1
49045131200,Utah,Tooele County,1,1
49047940201,Utah,Uintah County,0,0
49047968200,Utah,Uintah County,0,0
49047968301,Utah,Uintah County,1,1
49047968302,Utah,Uintah County,0,0
49047968401,Utah,Uintah County,1,1
49047968402,Utah,Uintah County,1,1
49049000102,Utah,Utah County,1,1
49049000103,Utah,Utah County,1,1
49049000104,Utah,Utah County,1,1
49049000105,Utah,Utah County,1,1
49049000203,Utah,Utah County,1,1
49049000204,Utah,Utah County,1,1
49049000205,Utah,Utah County,1,1
49049000206,Utah,Utah County,1,1
49049000400,Utah,Utah County,1,1
49049000504,Utah,Utah County,1,1
49049000505,Utah,Utah County,1,1
49049000506,Utah,Utah County,1,1
49049000507,Utah,Utah County,1,1
49049000508,Utah,Utah County,1,1
49049000509,Utah,Utah County,1,1
49049000601,Utah,Utah County,1,1
49049000603,Utah,Utah County,1,1
49049000604,Utah,Utah County,1,1
49049000703,Utah,Utah County,1,1
49049000706,Utah,Utah County,1,1
49049000707,Utah,Utah County,1,1
49049000708,Utah,Utah County,1,1
49049000709,Utah,Utah County,1,1
49049000710,Utah,Utah County,1,1
49049000711,Utah,Utah County,1,1
49049000801,Utah,Utah County,1,1
49049000802,Utah,Utah County,1,1
49049000901,Utah,Utah County,1,1
49049000903,Utah,Utah County,1,1
49049000904,Utah,Utah County,1,1
49049001001,Utah,Utah County,1,1
49049001002,Utah,Utah County,1,1
49049001103,Utah,Utah County,1,1
49049001105,Utah,Utah County,1,1
49049001106,Utah,Utah County,1,1
49049001107,Utah,Utah County,1,1
49049001108,Utah,Utah County,1,1
49049001201,Utah,Utah County,1,1
49049001202,Utah,Utah County,1,1
49049001300,Utah,Utah County,1,1
49049001401,Utah,Utah County,1,1
49049001402,Utah,Utah County,1,0
49049001501,Utah,Utah County,1,1
49049001503,Utah,Utah County,1,1
49049001504,Utah,Utah County,1,1
49049001601,Utah,Utah County,1,1
49049001602,Utah,Utah County,1,1
49049001603,Utah,Utah County,1,1
49049001701,Utah,Utah County,1,1
49049001702,Utah,Utah County,1,1
49049001801,Utah,Utah County,1,1
49049001802,Utah,Utah County,1,1
49049001803,Utah,Utah County,1,1
49049001900,Utah,Utah County,1,0
49049002000,Utah,Utah County,1,1
49049002101,Utah,Utah County,1,1
49049002102,Utah,Utah County,1,1
49049002201,Utah,Utah County,1,1
49049002204,Utah,Utah County,1,1
49049002205,Utah,Utah County,1,1
49049002206,Utah,Utah County,1,1
49049002207,Utah,Utah County,1,1
49049002300,Utah,Utah County,1,0
49049002400,Utah,Utah County,1,0
49049002500,Utah,Utah County,1,1
49049002701,Utah,Utah County,1,1
49049002702,Utah,Utah County,1,1
49049002801,Utah,Utah County,1,1
49049002802,Utah,Utah County,1,1
49049002901,Utah,Utah County,1,1
49049002902,Utah,Utah County,1,1
49049003001,Utah,Utah County,1,1
49049003002,Utah,Utah County,1,1
49049003103,Utah,Utah County,1,1
49049003104,Utah,Utah County,1,1
49049003105,Utah,Utah County,1,1
49049003106,Utah,Utah County,1,1
49049003201,Utah,Utah County,1,0
49049003203,Utah,Utah County,1,1
